brief_id,title,baseline_mean_score,advanced_mean_score,baseline_probe_total,advanced_probe_total,baseline_drift_caught,advanced_drift_caught,baseline_human_min,advanced_human_min,baseline_wall_s,advanced_wall_s,advanced_llm_calls,advanced_total_tokens,advanced_cost_usd,advanced_vetoes,advanced_replacements,mean_score_delta
eval_01_coffee,Умная кофеварка,69.0,42.8,79.0,28.0,False,True,33.0,7.5,0.035,254.51,10,29989,0.00985,1,1,-26.2
eval_02_perfume,Парфюм «Северный свет»,71.5,76.2,80.5,14.8,False,True,33.0,7.5,0.035,180.31,10,29866,0.00732,1,1,4.7
eval_03_sleep_app,Приложение для сна «Дрёма»,69.0,77.1,82.5,11.7,False,True,33.0,7.5,0.037,270.86,10,35603,0.00614,1,1,8.1
eval_04_bike_delivery,Велодоставка «Зелёный курьер»,73.8,75.2,82.5,23.0,False,True,33.0,7.5,0.039,228.37,10,34925,0.00884,1,1,1.4
eval_05_art_expo,Выставка «Горизонт событий»,73.8,77.5,81.0,22.2,False,True,33.0,7.5,0.035,312.94,11,42496,0.01578,1,1,3.7
eval_06_bakery,Крафтовая пекарня «Тёплый мякиш»,76.2,77.7,80.5,7.8,False,True,33.0,7.5,0.034,439.09,14,40992,0.01118,1,1,1.5
eval_07_kids_coding,Онлайн-школа программирования для детей,77.8,78.3,69.4,19.0,False,True,33.0,7.5,0.041,374.29,11,41214,0.01233,1,1,0.5
eval_08_cheese,Дизайн упаковки сыра «Луговой»,73.8,78.8,80.5,16.8,False,True,33.0,7.5,0.034,154.64,10,26375,0.008,1,1,5.0
eval_09_food_fest,Фестиваль уличной еды «Перекрёсток»,73.8,80.1,78.6,14.8,False,True,33.0,7.5,0.085,466.03,13,61557,0.01651,1,1,6.3
eval_10_edge_hotel,Тихий отель для выгоревших (ПРОТИВОРЕЧИВЫЙ БРИФ),77.8,33.3,80.5,27.5,False,True,33.0,7.5,0.038,218.93,10,35849,0.00774,1,1,-44.5

TOTAL/AVG,10 briefs,73.7,69.7,,,0.0,1.0,330.0,75.0,,2900.0,109,378866,0.10369,10,10,
